"rank","artist","title","releaseYear","listHighestRank","listYear","listWeek","listNumWeeksBest","listNumWeeks","listType"
1073,"The Babys","Isn't It Time",1977,4,1978,2,2,11,"top40"
1074,"Mariah Carey","All I Want For Christmas Is You",1994,5,1995,1,1,6,"top40"
1075,"The Hollies","The Air That I Breathe",1974,2,1974,9,3,13,"top40"
1076,"Led Zeppelin","Dazed And Confused",1969,,,,,,""
1077,"Midnight Oil","Beds Are Burning",1988,3,1988,18,1,11,"top40"
1078,"Manu Chao","Me Gustas Tu",2000,28,2001,38,1,6,"top40"
1079,"Acda En De Munnik","Mooi Liedje",1997,,,,,,""
1080,"Meat Loaf","You Took The Words Right Out Of My Mouth",1979,3,1979,8,2,9,"top40"
1081,"Drs. P","Dodenrit",1974,26,1974,38,1,5,"top40"
1082,"James Brown","It's A Man's Man's World",1966,2,1969,41,1,5,"tip"
1083,"The Doors","Touch Me",1969,21,1969,6,2,5,"top40"
1084,"De Dijk","Nergens Goed Voor",1989,10,1989,30,2,8,"top40"
1085,"Japan","Nightporter",1980,,,,,,""
1086,"Brainbox","Summertime",1969,16,1969,45,1,8,"top40"
1087,"Yes","Roundabout",1972,23,1972,10,1,3,"top40"
1088,"Supertramp","Give A Little Bit",1977,2,1977,43,2,15,"top40"
1089,"Red Hot Chili Peppers","Dark Necessities",2016,35,2016,22,2,3,"top40"
1090,"Damien Rice","The Blower's Daughter",2004,,,,,,""
1091,"Guus Meeuwis","De Weg",2005,7,2005,45,1,11,"top40"
1092,"Sam Cooke","A Change Is Gonna Come",1964,,,,,,""
1093,"Bronski Beat","Smalltown Boy",1984,1,1984,34,2,12,"top40"
1094,"The Backstreet Boys","I Want It That Way",1999,1,1999,19,4,15,"top40"
1095,"J.J. Cale","Call Me The Breeze",1971,,,,,,""
1096,"Adele","Rumour Has It",2011,21,2011,46,1,9,"top40"
1097,"Kings Of Leon","Back Down South",2010,12,2011,24,1,6,"tip"
1098,"The Doors","Roadhouse Blues",1970,,,,,,""
1099,"Justin Timberlake","Mirrors",2013,7,2013,15,2,19,"top40"
1100,"Ozzy Osbourne","No More Tears",1992,16,1992,18,1,8,"top40"
1101,"Gloria Gaynor","I Will Survive",1979,4,1979,17,1,18,"top40"
1102,"10CC","The Wall Street Shuffle",1974,1,1974,41,1,14,"top40"
1103,"Placebo","Pure Morning",1999,,,,,,""
