"rank","artist","releaseYear"
1962,"Portugal. The Man",2017
1963,"George Baker Selection",1975
1964,"Golden Earrings",1967
1965,"Avicii",2014
1966,"Pulp",1995
1967,"Katy Perry",2017
1967,"Skip Marley",2017
1968,"Florence + The Machine",2015
1969,"Hot Chocolate",1974
1970,"Björk",1993
1971,"Bob Seger & The Silver Bullet Band",1980
1972,"Crosby, Stills & Nash",1969
1973,"Herman Brood & His Wild Romance",1980
1974,"Prince",1987
1975,"Zucchero Fornaciari",1986
1976,"Bob Dylan",1969
1977,"Tracy Chapman",1988
1978,"Blackstreet",1996
1978,"Dr. Dre",1996
1979,"Imagine Dragons",2017
1980,"Daniel Lohues",2014
1981,"Axwell Λ Ingrosso",2015
1982,"Kraftwerk",1978
1983,"The Monkees",1967
1984,"One Direction",2013
1985,"Maroon 5",2015
1986,"USA For Africa",1985
1987,"The Beatles",1967
1988,"Earth Wind & Fire",1979
1989,"The Doors",1971
1990,"The Rolling Stones",1965
1991,"Het Goede Doel",1983
1992,"Eagle Eye Cherry",1998
1993,"Bob Marley & The Wailers",1973
1994,"The Rolling Stones",1976
1995,"Prince",1983
1996,"Sam & Dave",1967
1997,"Stone Roses",1990
1998,"Ronan Keating",1999
1999,"Amy Macdonald",2008
2000,"Chaka Khan",1979
